=== google-t5/t5-base ===
So wouldn't it be amazing if our phones           Also wäre es nicht erstaunlich, wenn unsere TelefoneWäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   und ich fühlte mich, als ob ich auf               Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,gebohrt ein Loch in der Rückseite des Rohrs, nahm einige unserer Feuerwerkskörper,bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    Also, es gibt alle Arten von Bakterien auf der ErdeEs gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        aber während er begann, seine Arbeit zu tun,      aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und stellen sie zwischen sich und der Person, die sie interviewt.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             sparen 50.000 Dollar auf ihre Steuern --          jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                und ich werde alle diese durchgehen.              auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    Darum geht es bei Fortschritten.                  Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir uns nie getrennt hatten,                   Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Robotics war wirklich über die Interaktion mit Dingen,Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es ist keine kultische Sache.                     Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe dich an, North Carolina.                 Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 sitzen still                                      liegen still da                                   
Again, we think that bacteria invented that,      Auch hier glauben wir, dass Bakterien erfunden, dass,Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
you get some synergy of ideas                     Sie erhalten einige Synergie von Ideen            und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Aber ich weiß nur, dass die Natur --              und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       Lernwerkzeuge zur Lösung ihrer familiären KonflikteMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersund es ist ein Fehler zu versuchen, komplexe psychiatrische Störungen zu behandelnund es ein Fehler ist, komplexe psychische Störungen
how ugly such a regime was                        wie hässlich ein solches Regime war               wie gräßlich so ein Regime ist                    
that now characterizes all of humanity.           die nun die gesamte Menschheit kennzeichnet.      der nun die ganze Menschheit charakterisiert.     
And that's despite the fact that a supernova is so bright,Und das trotz der Tatsache, dass eine Supernova ist so hell,So, könnten wir jetzt die Lichter wieder einschalten, bitte? Danke.
We have only been discussing and consumed         Wir haben nur diskutiert und konsumiert.          Wir haben uns nur mit kräftezehrenden Diskussionen
So let's start getting into the countries         Fangen wir also an, in die Länder zu kommen.      Also schauen wir uns die Länder an,               
\"Hey, you've got to remember to pick up bananas on your way home.\"Hey, Sie müssen daran denken, Bananen auf Ihrem Weg nach Hause abholen.dass mir diese kleine Stimme sagt:                
I am often so disappointed                        Ich bin oft so enttäuscht                         Ich bin so oft enttäuscht,                        
He didn't tell. He asked questions.               Er hat nichts gesagt, er hat Fragen gestellt.     im Kern des Betriebssystems                       
And that potential, that powerful potential,      Und dieses Potenzial, dieses mächtige Potenzial,  Und dieses Potential, dieses mächtige Potential,  
thoughts are bouncing around.                     Gedanken hüpfen herum.                            die Gedanken springen umher.                      
If we were to kill the language, we'd have to find an identity.Wenn wir die Sprache töten würden, müssten wir eine Identität finden.Etwas sehr Einfaches und doch zugleich Kreatives und Überzeugendes.
is after all talk about design, too. This was     ist schließlich auch über Design zu sprechen.     letztlich auch über Design reden. Also, das hier  
Now, how much computation does the brain do?      Nun, wie viel Berechnung macht das Gehirn?        Also, wieviel Rechenkraft besitzt denn das Gehirn?
something that caused them to wonder              etwas, was sie zu fragen,                         etwas, das sie nachdenklich machen würde,         
Daddy's got you. That's all that's important.     Papa hat dich, das ist alles, was wichtig ist.    Papa hält dich. Das ist alles, was zählt.         
I have a hard time envisioning a future           Es fällt mir schwer, mir eine Zukunft vorzustellen.Ich kann mir schwer vorstellen,                   
is in the core of our being, right?               ist im Kern unseres Seins, richtig?               im Kern unsers Seins liegt, oder?                 
in accepting this particular defeat               in der Annahme dieser besonderen Niederlage       zur Akzeptanz dieser bestimmten Niederlage        
I decided to cross during the day,                Ich entschied mich tagsüber zu überqueren,        Ich entschied mich dazu, die Grenze bei Tag zu überqueren.
around these new developments.                    um diese neuen Entwicklungen.                     mit diesen neuen Entwicklungen.                   
that's the first step towards taking responsibilitydas ist der erste Schritt zur Übernahme der Verantwortungist der erste Schritt dazu, Verantwortung dafür zu übernehmen,
And that’s communication.                         Und das ist Kommunikation.                        Und das ist wahre Kommunikation.                  
that washes out the planet.                       Das wäscht den Planeten aus.                      den Strahler abblocke, der mich blendet:          
that Dioscorides first described in 65 A.D.       Dass Dioscorides zum ersten Mal in 65 A.D. beschrieben.als erstes durch Dioscorides 65 A.D.              
patterns and connections between numbers          Muster und Verbindungen zwischen Zahlen           Muster und Verbindungen zwischen den Zahlen zu sehen,
CA: That's not 30 percent a year, that's -- MS: Yes, thirty percent a year.CA: Das sind nicht 30 Prozent pro Jahr, das ist -- MS: Ja, 30 Prozent pro Jahr.CA: Nicht 30 % im Jahr, das... MS: Doch, 30 % im Jahr.
Well, as best we can tell, there are about two to three million disksNun, wie wir am besten erkennen können, gibt es etwa zwei bis drei Millionen Platten.Soweit wir schätzen, sind etwa drei Millionen Platten
to this elegant unification,                      zu dieser eleganten Einigung,                     kommt mit einem Preisschild,                      
until you realize that you very much are that woman,bis du merkst, dass du diese Frau bist,           Als ich älter wurde, akzeptierte ich,             
peer pressure used to help patients --            Gruppenzwang wurde verwendet, um Patienten zu helfen --Gruppenzwang, um Patienten zu helfen,             
lay out in excruciating detail, how to be better than you at checkers?in qualvollem Detail auslegen, wie man besser sein kann als Sie bei Dames?und bis ins kleinste Detail definieren, wie man sich selbst in Dame übertrifft?
there's a few people from Pakistan in here.       Hier sind ein paar Leute aus Pakistan.            es sind einige Leute aus Pakistan hier.           
to a light continent.\"                           auf einen leichten Kontinent.\"                   in einen hellen Kontinenten überführen.\"         
Their identity doesn't change.                    Ihre Identität ändert sich nicht.                 Ihre Persönlichkeit ändert sich nicht.            
CNN was saying that Palestinians were dancing in the streets.CNN sagte, dass Palästinenser auf den Straßen tanzten.CNN sagte, die Palästinenser tanzten auf der Straße.
is that if you want mass-market success or mass-market acceptance of an idea,ist, dass, wenn Sie Massenmarkt Erfolg oder Massenmarkt Akzeptanz einer Idee wollen,immer fünf Sets der Ausrüstung mitnahmen,         
It's just a reality of anesthesia. The lungs can be paralyzed.Es ist nur eine Realität der Narkose, die Lungen können gelähmt werden.Das ist bei einer Narkose einfach so. Es kann zur Lähmung der Lungen kommen.
Show the state that protecting wilderness         Zeigen Sie den Staat, dass der Schutz der Wildnis Der Sumpf wird Sie verändern, das verspreche ich. 
if you're going to have the privilege             wenn Sie das Privileg haben werden                dass, wenn man das Privileg hat,                  
So, basically the \"Internet\" has two Internets. Also, im Grunde hat das \"Internet\" zwei Internets.Das Internet besteht also praktisch aus zwei Internets.
The desert's extremely windy as well as being very cold.Die Wüste ist extrem windig und auch sehr kalt.   Die meisten Leute denken, dass die Höcker Wasser speichern.
doesn't begin with ideas or facts or data.        beginnt nicht mit Ideen oder Fakten oder Daten.   nicht mit Ideen, Fakten oder Informationen beginnt.
I hope it's not over.                             Ich hoffe, es ist noch nicht vorbei.              Ich hoffe, Sie ist nicht beendet.                 
You're going to see the whole thing take place in this movie.Sie werden sehen, wie das Ganze in diesem Film abläuft.Sie werden die ganze Sache im Film von statten gehen sehen.
our supply of flu and made more available,        unsere Versorgung mit Grippe und mehr zur Verfügung gestellt,verdünnen und weiter verfügbar machen können,     
this is where we need to be.                      Hier müssen wir sein.                             das ist wo wir hinkommen müssen.                  
We need to recognize just how serious             Wir müssen erkennen, wie ernst es ist,            Wir müssen erkennen, wie ernst                    
they just add a new layer to the existing system of terror.Sie fügen dem bestehenden System des Terrors einfach eine neue Ebene hinzu.Sie fügt sich lediglich zum Dispositiv des existenten Terrors hinzu.
and the results are in:                           und die Ergebnisse sind in:                       Nun liegen Ergebnisse vor:                        
Why wouldn't they just go to a shop and buy a bag of nutsWarum würden sie nicht einfach in einen Laden gehen und eine Tüte Nüsse kaufen?Warum gehen sie nicht einfach in einen Laden und kaufen eine Tüte Nüsse,
that maybe there is many more possibilities       dass es vielleicht noch viele weitere Möglichkeiten gibtdass es vielleicht viel mehr Möglichkeiten gibt   
I had woven carbon fiber sprinting legs           Ich hatte gewebte Carbonfaser Sprint Beine        Ich hatte Sprintbeine aus gewebten Kohlenstofffasern,
And then 10 years later everything changed.       Und 10 Jahre später änderte sich alles.           Und 10 Jahre später, änderte sich alles.          
The processing, of course, begins with the eyes.  Die Verarbeitung beginnt natürlich mit den Augen. Der Prozess beginnt natürlich bei den Augen.      
and then here we are in the deep ocean,           und dann sind wir hier im tiefen Ozean,           die den menschlichen Geist erhellen können.       
with the digital information                      mit den digitalen Informationen                   mit den digitalen Informationen interagieren      
sort of loosely attached, so it could spin by itself.Eine Art lose Befestigung, so dass es sich von selbst drehen könnte.locker befestigt war, damit es sich allein drehen konnte.
They don’t. Their mothers don’t say to little baby fish,Ihre Mütter sagen nicht zu kleinen Babyfischen:   Das tun sie nicht. Ihre Mütter sagen nicht zum kleinen Babyfisch,
In 1949 we saw the emergence of the modern China  Im Jahr 1949 sahen wir die Entstehung des modernen China1949 sahen wir die Entstehung des modernen Chinas 
that memory is still in people's minds.           Diese Erinnerung steckt noch immer in den Köpfen der Menschen.ist bis heute im Gedächtnis der Menschen präsent. 
And this is all about darkness                    Und hier geht es nur um Dunkelheit.               Sie haben diesen Schatten,                        
From China to Brazil, these projects attempt      Von China bis Brasilien versuchen diese Projekte  Von China bis Brasilien versuchen diese Projekte, 
where we decide how we want to treat it.          wo wir entscheiden, wie wir es behandeln wollen.  in dem wir entscheiden, wie wir sie behandeln wollen.
all the way to your deathbed,                     bis zu deinem Sterbebett,                         um noch ein paar Spiele zu spielen.               
or for some reason we can't take them down.       oder aus irgendeinem Grund können wir sie nicht ausschalten.oder wir können sie aus anderen Gründen nicht zur Rechenschaft ziehen.
George was actually an alcoholic when they married, and Mary knew it.George war eigentlich Alkoholiker, als sie heirateten, und Mary wusste es.als sie sich zum ersten Mal trafen.               
and, I would say, nakedness,                      und, würde ich sagen, Nacktheit,                  und, würde ich sagen, Nacktheit,                  
but enough to do an unbelievable amount of damage.aber genug, um eine unglaubliche Menge an Schaden zu verursachen.aber genug, um einen unglaublichen Schaden anzurichten.
people who are attracted to the ritualistic side, Menschen, die von der rituellen Seite angezogen werden,Menschen, die sich zur rituellen Seite hingezogen fühlen,
actually have the capability or the interest in going under the waterhaben tatsächlich die Fähigkeit oder das Interesse, unter dem Wasser zu gehenbesitzt die Fähigkeiten oder das Interesse um unterzutauchen
from neurons in the fly's brain while the fly     von Neuronen im Gehirn der Fliege während der Fliegeim Gehirn der Fliege aufzeichnen –                
are early detection, early intervention.          sind Früherkennung, frühzeitiges Eingreifen.      sind Früherkennung, schnelles Gegensteuern.       
and I won't go through them all --                und ich werde nicht alle durchgehen --            wir sagen ihr nicht, was passieren wird           
It's because I didn't have a self to get in the way.Es ist, weil ich nicht ein Selbst in den Weg zu bekommen.Das war, weil ich kein Selbst hatte, was dazwischen war.
What I would suggest is that if you want to see   Was ich vorschlagen würde, ist, dass, wenn Sie wollen, dassAlso, was ich vorschlagen würde, wenn Sie sehen möchten,
and she sat there with this penguin, the penguin's flapping, and she let's it go.und sie saß dort mit diesem Pinguin, der Pinguin flattern, und sie ließ es los.und sie saß da mit diesem Pinguin, der Pinguin flatterte und sie ließ ihn los.
that is helping us, not only finally with evaluation, assessing what works.Das hilft uns nicht nur bei der Evaluierung, sondern auch bei der Beurteilung dessen, was funktioniert.Wir gestalteten Chemie und Physik neu.            
It's really difficult. So we're still having to rely onEs ist wirklich schwierig, also müssen wir uns immer noch darauf verlassen.Das ist sehr schwierig. Also müssen wir uns da noch
And he became interested in that.                 Und er wurde daran interessiert.                  Asanga wurde neugierig.                           
to move things around and interact with us        um Dinge zu bewegen und mit uns zu interagieren   vom Bildschirm in die physische Welt bringen kann, in der wir leben.
and I won't read them for you.                    und ich werde sie nicht für Sie lesen.            und ich werde sie Ihnen auch nicht vorlesen.      
It's the whole planet,                            Es ist der ganze Planet,                          Es ist der ganze Planet,                          
getting a better version                          immer eine bessere Version                        nach einer besseren Version des                   
This is one of the jackets you grew?              Das ist eine der Jacken, die du gezüchtet hast?   Dies ist eine der Jacken aus deinem Anbau?        
Seven is prime because it's 1 x 7,                Sieben ist prime, weil es 1 x 7 ist,              7 ist prim, weil 1 x 7 = 7,                       
And so this green dot up here is a driver assistance system.Und so ist dieser grüne Punkt hier oben ein Fahrerassistenzsystem.Aber sehen wir es einmal anders.                  
And now who in this room doesn't know a 14 year-oldUnd nun, wer in diesem Zimmer nicht kennt eine 14-jährigeUnd wer hier in diesem Raum kennt nicht eine 14-jährige,
There you go. That's connection.                  Das ist eine Verbindung.                          Da haben Sie's. Das ist Verbundenheit.            
that they would not tell their preacher or rabbi, daß sie ihrem Prediger oder Rabbi nicht sagen würden,die sie nicht einmal ihrem Priester oder Rabbi erzählen würde,
and yet, out of people’s desire for a global ethicund doch, aus dem Wunsch der Menschen nach einer globalen Ethikdoch kann dies durch den Wunsch der Menschen nach einer globalen Ethik
We can begin to sculpt the form.                  Wir können anfangen, die Form zu modellieren.     Wir können anfangen, das Objekt auszuformen.      
plus the influence of Joe and others. We started One Laptop per Child.Wir haben einen Laptop pro Kind gestartet.        plus der Einfluss von Joe und anderen. Wir starteten das Projekt \"Ein Laptop pro Kind“.
He started showing the symptoms about 12 years ago,Er fing an, die Symptome vor ungefähr 12 Jahren zu zeigen,Vor ungefähr zwölf Jahren zeigten sich die ersten Symptome,
Now it's not about the leader anymore;            Jetzt geht es nicht mehr um den Anführer;         es geht um sie, Plural.                           
They depend on us for their survival.             Sie sind auf uns angewiesen, um ihr Überleben zu sichern.Wir haben hier eine Menge von glücklichen Zusammentreffen.
I didn't have the courage to tell him in that moment that,Ich hatte nicht den Mut, ihm in diesem Moment zu sagen, dass,Ich hatte in diesem Moment nicht den Mut, ihm zu sagen,
and the 2,000 or so nuclear bombs                 und die etwa 2000 Atombomben                      und den rund 2000 Atombomben                      
It takes lots of experience to learn how to care for people.Es braucht viel Erfahrung, um zu lernen, wie man sich um Menschen kümmert.Es bedarf viel Erfahrung zu lernen wie man für Menschen sorgt.
I'm sorry to be the bearer of bad news, but somebody has to be.Es tut mir leid, dass ich schlechte Nachrichten habe, aber jemand muss es sein.Es tut mir leid, dass ich diese schlechte Nachricht überbringen muss, aber irgendwer muss es ja tun.
And most of the imagery is --                     Und die meisten Bilder sind --                    Der Großteil der Bildsprache ist —                
BLEU score: 20.519594937035873

=== facebook/m2m100_418M ===
source                                            translation                                       reference                                         
to the atom that it hits.                         den Atom, den er schlägt.                         vom Atom, auf welches er trifft.                  
People are more likely to support the use         Menschen sind wahrscheinlicher, die Verwendung zu unterstützenDie Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,Deshalb in den Verhandlungen, oft, wenn die Dinge schwierig werden,und ihn wie einen Freund zu behandeln,            
why the buildings failed.                         Warum die Gebäude scheitern?                      warum die Gebäude nicht standhielten.             
We have confusion about what we should think about a new technology.Wir haben Verwirrung darüber, was wir über eine neue Technologie denken sollten.Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people            praktisch wie das und zeigen Menschen             wie hier zu sehen ist, und den Menschen           
and I professionally watch YouTube videos.        Und ich sehe professionell YouTube-Videos.        Beruflich schaue ich mir YouTube-Videos an.       
we lived for all those years,                     Wir haben all diese Jahre gelebt,                 lebten wir all die Jahre,                         
GH: Oh, D and F -- too familiar.                  GH: Oh, D und F - zu vertraut.                    Nun, sie hat C, G, H, A, E ausgesucht.            
which is around 12,000 years old.                 Das ist etwa 12.000 Jahre alt.                    der etwa 12000 Jahre alt ist.                     
It was no big deal, but it was a latrine.         Es war keine große Sache, aber es war eine Latrine.Es war nichts Besonderes, aber es war eine Latrine.
Even in the midst of terrible destruction and death and chaos,Auch inmitten der schrecklichen Zerstörung und des Todes und des Chaos,Sogar inmitten schrecklicher Zerstörung, Tod und Chaos,
to all the bright and dazzly things,              für alle glänzenden und glänzenden Dinge,         all die hellen und begeisternden Dinge,           
they even do little stunts.                       Sie machen sogar kleine Stunts.                   dass sie sogar kleine Stunts machen.              
And the list looked something like this a little while ago.Und die Liste sah vor kurzem so etwas aus.        Und die Liste sah vor kurzem in etwa so aus.      
but also as a political program.                  Aber auch als politisches Programm.               sondern auch als politisches Programm.            
comes straight down from the mushroom cloud that goes up.Sie kommen direkt von der Pilze, die aufsteht, herab.direkt vom Atompilz runter kommt.                 
Nothing with a face Monday through Friday.        Nichts mit einem Gesicht Montag bis Freitag.      Nichts mit einem Gesicht von Montag bis Freitag.  
of all other forms of life combined.              von allen anderen Lebensformen kombiniert.        aller anderen Lebewesen zusammen.                 
And the story of the Intermittent Absorption Refrigerator.Und die Geschichte des Intermittent Absorption Refrigerator.Es sind zwei Bereiche, durch Abstand getrennt sind.
\"Moon is one with God.                           „Der Mond ist ein mit Gott.                       \"Moon ist eins mit Gott.                         
Take the goggles off. Take the goggles off!       Entfernen Sie die Gögel, Entfernen Sie die Gögel! Nimm die Schwimmbrille ab. Nimm die Schwimmbrille ab!
The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.Der Tempel von Dendur am Metropolitan in New York - es ist ein sehr dunkler Ort.Der Tempel von Dendur im Metropolitan in New York -- ein sehr trister Ort.
but they use those same wings to flip over        Aber sie verwenden die gleichen Flügel, um überfliegenaber sie benutzen dieselben Flügel, um sich umzudrehen
totally trying to capture what cinema is for me,  Ich versuche ganz, zu erfassen, was für mich ein Kino ist,versucht wirklich total einzufangen, was Kino für mich bedeutet,
to be a worthless artifact.                       Um ein wertloses Kunstwerk zu sein.               als wertlose Artefakte betrachtete.               
and they weren't going to let anyone              Und sie wollten niemanden liefern                 und sie würden sie sich von niemandem             
to mimic a movement or a facial expression,       um eine Bewegung oder eine Gesichtsausdruck zu imitieren,eine Bewegung oder einen Gesichtsausdruck zu imitieren,
a giant mushroom.                                 Ein riesiger Muskel.                              ein riesiger Pilz.                                
and share ideas for free.\"                       und teilen Ideen kostenlos.“                      und Ideen austauschen, umsonst.\"                 
the U.S. Navy had a system that was secret at the time,Die US-Marine hatte ein System, das damals geheim war,verfügte die US-Marine über ein zu der Zeit geheimes System
We had about 20 people who made donations --      Wir hatten etwa 20 Menschen, die Spenden gemacht haben -Wir hatten etwa 20 Leute, welche Geld gespendet hatten --
watching the people going to work,                Wenn man die Leute betrachtet, die arbeiten,      zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    Es ist berühmt für seine [Beach] Volleyball Courts,der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digitalisiert und transparent,                    digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich werde dir einen kleinen Hinweis geben.        gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.Und so stärkt es die Kolonialgesundheit und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               Und es schläft eigentlich vier Menschen.          können vier Leute darin schlafen.                 
I'll tell you: 158.                               Ich werde dir sagen: 158.                         Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Gefühl und Papierwasserflaschen,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         Wir reden also über die Unterschiede.             Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unvorhersehbar                          Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.Das Westen ist noch im Hinblick auf technologische Innovationen führend.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          So jetzt, in meinem Labor, sind wir zusammen      In meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         Das in den nächsten zehn Jahren                   dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Das wird immer wieder wiederholt                  Diese bedingten Motivatoren --                    
and we're the caterpillars                        Und wir sind die Caterpillars                     und wir sind die Raupen,                          
the dog is a surrogate for you,                   Der Hund ist ein Surrogat für dich,               der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      Nichts hätte passiert.                            Die Beziehung war eins-zu-eins.                   
not for use in patients.                          Nicht für den Einsatz bei Patienten.              nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie verwenden tatsächlich die Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          Wir verunreinigen so viel                         verursachen wir so viel Verschmutzung,            
the girl means to mean,                           Das Mädchen bedeutet zu sagen,                    Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         18 davon sind Kämpfe.                             18 davon sind Fledermäuse.                        
and you need a controller,                        Und du brauchst einen Kontroller,                 und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,Wer die alten Vatikanischen Mosaiktechniken studiert hat,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Hunderte von Tausenden von DNA-Proben von Menschen auf der ganzen Welt."und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
you can lower their demand for oxygen,            Sie können ihre Nachfrage nach Sauerstoff senken, und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Eines der Dinge, die ich anzeige, ist, dass       Ich will darauf hinaus,                           
Look around the room: chairs, wood,               Schauen Sie sich um das Zimmer an: Stühle, Holz,  Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 So ein riesiges Wissensfonds                      Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                Es ist, drei Zeitskala zu vereinbaren:            und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es nur mit Nüsse oder etwas.           Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                verschwinden in meinem Gesicht.                   vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es als ein einziges Punkt hier aufgelegt.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Es ist, ich stimme zu, eine schöne Sache zu tun.  Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      Das war Shuttle Loomed                            die schussgewebt wurde                            
They're originally from Crete. They're a seafaring people.Sie stammen ursprünglich aus Kreta. sie sind ein Seefahrer.Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"Und die Verbrecher nennen tatsächlich Tide ‚Lichid Gold‘.Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Die Chinesen lügen immer, oder?                   Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Und Sie alle haben eine Idee in Ihrem Kopf der Antwort.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Und für diejenigen, die mehr sehen wollen, habe ich meine Buchunterlagen im Buchhandel.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs wird herausgefunden, dass etwa 200 Millionen CAPTCHAetwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und das Video später an diesem Tag ansehen        Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich werde es zeigen, weil -                       Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,Unser prolifierter Fotograf hat rund 350 Fotos aufgenommen.den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          Menschen mit Androgeninsensitivitätssyndrom.      und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    Wissen Sie, wie das Gehirn Bewegung kontrolliert? zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,Und ich konnte nicht wirklich die Antworten finden, die ich suchte,fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          Denn sie kehrte zurück -                          denn sie schlug zurück -                          
very simple language, beautifully typeset.        sehr einfache Sprache, wunderschön typiset.       wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           So wäre es nicht erstaunlich, wenn unsere TelefoneWäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   Und ich fühlte, als ob ich auf                    Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,ein Loch in der Rückseite der Pipe, nahm einige unserer Feuerwehrer,bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    So gibt es alle Arten von Bakterien auf der Erde  Es gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        Aber als er seine Arbeit begann,                  aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und sie zwischen sich selbst und dem, der sie interviewt.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             50 000 Dollar auf ihre Steuern sparen -           jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                Und ich werde durch jede dieser gehen.            auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    So geht es um Fortschritte.                       Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir nie getrennt waren,                        Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Robotik war wirklich über die Interaktion mit den Dingen gewesen,Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es ist keine kultische Sache. (Lachen)            Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe dich an, North Carolina.                 Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 Sie sitzen noch                                   liegen still da                                   
Again, we think that bacteria invented that,      Wieder, wir glauben, dass Bakterien das erfunden haben,Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
you get some synergy of ideas                     Sie bekommen eine Synergie von Ideen              und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Aber ich kenne nur diese Natur -                  und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       Lernen Sie Werkzeuge, um Familienkonflikte zu lösenMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersUnd es ist ein Fehler, versuchen, komplexe psychiatrische Störungen zu behandelnund es ein Fehler ist, komplexe psychische Störungen
how ugly such a regime was                        Wie schrecklich war ein solches Regime            wie gräßlich so ein Regime ist                    
that now characterizes all of humanity.           Das charakterisiert nun die ganze Menschheit.     der nun die ganze Menschheit charakterisiert.     
And that's despite the fact that a supernova is so bright,Und das ist trotz der Tatsache, dass eine Supernova so hell ist,So, könnten wir jetzt die Lichter wieder einschalten, bitte? Danke.
We have only been discussing and consumed         Wir haben nur diskutiert und verbraucht           Wir haben uns nur mit kräftezehrenden Diskussionen
So let's start getting into the countries         Lassen Sie uns beginnen, in die Länder zu kommen  Also schauen wir uns die Länder an,               
